"S7_ID","C7DESMTH","C7R4MSCL","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"C002",0,164.82,104.61,"less than",1,"WHITE",-0.54,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",1,154.66,140.92,"4y college",0,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,141.56,127.71,"4y college",1,"WHITE",-1.14,"BELOW POVERTY THRESHOLD","less than high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",1,130.97,124.01,"4y college",1,"WHITE",1,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",1,166.12,138.62,"more than",1,"WHITE",0.96,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",1,145.83,105.86,"4y college",0,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",1,154.36,116.97,"4y college",1,"WHITE",0.98,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",0,145.91,102.75,"4y college",1,"WHITE",0.76,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",1,161.74,139.79,"4y college",0,"WHITE",1.95,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",1,167.5,139.62,"4y college",1,"WHITE",1.51,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0007",1,157.1,141,"less than",1,"WHITE",0.48,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"C008",1,106.45,86.8,"less than",0,"WHITE",-1.2,"BELOW POVERTY THRESHOLD","less than high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,132.78,119.38,"4y college",0,"WHITE",0.82,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",1,133.83,121.18,"less than",0,"WHITE",-0.52,"BELOW POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,100.7,89.53,"less than",0,"WHITE",-0.53,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,128.88,119.83,"less than",0,"WHITE",-0.45,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",1,143.72,128.54,"less than",1,"WHITE",-0.46,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,82.57,80.92,"less than",0,"WHITE",0.46,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",1,157.87,128.22,"more than",0,"WHITE",0.15,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,119.6,116.19,"4y college",0,"WHITE",-0.27,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,161.87,119.83,"less than",0,"WHITE",-0.37,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,84.14,88.64,"less than",1,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,130.71,132.63,"less than",1,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C008",0,96.5,72.66,"4y college",0,"WHITE",0.82,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C001",0,126.73,54.1,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0020",1,139.62,115.21,"4y college",0,"WHITE",-0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,147.35,128.53,"less than",1,"WHITE",0.11,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",0,150.54,142.51,"4y college",0,"WHITE",-0.08,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",0,130.89,86.3,"more than",0,"WHITE",-0.45,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,157.69,139.96,"4y college",0,"ASIAN",0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,145.61,118.38,"4y college",1,"HISPANIC",-0.5,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,121.5,118.87,"less than",0,"WHITE",-0.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,158.22,145.64,"4y college",1,"WHITE",0.73,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,129.23,92.44,"4y college",0,"WHITE",-0.37,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,143.14,134.89,"more than",1,"WHITE",0.4,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,152.31,135.75,"less than",1,"WHITE",-0.51,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",1,161.71,125.99,"less than",0,"WHITE",-0.52,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020",0,148.58,67.59,"less than",1,"WHITE",-0.44,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,122.89,101.03,"4y college",1,"WHITE",0.48,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",1,139.51,101.13,"less than",0,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,133.56,145.1,"4y college",1,"WHITE",-0.03,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,106.45,80.75,"less than",1,"WHITE",-0.66,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,139.42,140.28,"less than",0,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,145.17,132.93,"4y college",1,"WHITE",-0.36,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,93.55,80.1,"less than",1,"WHITE",-0.28,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",1,156.1,138.36,"4y college",0,"WHITE",0.36,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",1,156.96,132.28,"4y college",1,"WHITE",-0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",1,127.93,105.31,"4y college",0,"WHITE",0.3,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,135.78,118.88,"4y college",0,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,160.39,140.4,"4y college",1,"WHITE",0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",1,152.24,128.72,"4y college",0,"WHITE",1.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,96.87,63.93,"less than",1,"WHITE",-0.66,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",1,146.96,140.98,"more than",0,"WHITE",0.28,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"A054",0,157.7,141.55,"less than",1,"WHITE",1.86,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,141.84,129,"4y college",0,"WHITE",0.5,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,88.81,55.42,"4y college",0,"WHITE",-0.67,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",1,165.8,146.05,"4y college",1,"WHITE",0.99,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",1,169.19,155.97,"more than",1,"HISPANIC",2,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",1,156.65,119.21,"less than",0,"WHITE",-0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",1,152.16,142.44,"4y college",0,"WHITE",1.17,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",0,120.89,100.38,"4y college",0,"WHITE",0.01,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",1,146.08,139.36,"more than",0,"WHITE",-1.05,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,143.3,116.41,"4y college",0,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",0,120.72,72.33,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",0,141.18,131.29,"4y college",1,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",1,163.42,150.79,"more than",0,"WHITE",2.45,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",1,153,141.53,"4y college",1,"WHITE",0.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",1,167.13,157.44,"less than",1,"WHITE",-0.57,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C007",1,144.9,125.99,"4y college",0,"WHITE",1.39,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",1,165.44,144.74,"4y college",1,"WHITE",1.27,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,126.61,98.19,"less than",0,"WHITE",-0.34,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,161.59,151.42,"4y college",0,"WHITE",0.52,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",1,169.08,155.83,"4y college",0,"WHITE",0.86,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,145.31,103.38,"less than",1,"WHITE",-0.39,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",1,163.48,144.31,"more than",0,"WHITE",1.53,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,165.41,143.61,"4y college",0,"WHITE",1.3,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C005",0,161.06,151.23,"less than",0,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0051",0,147.13,120.53,"4y college",0,"WHITE",1.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",1,159.77,145.31,"less than",0,"WHITE",-0.32,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",1,156.66,125.36,"4y college",0,"WHITE",0.59,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",1,161.91,159.92,"4y college",1,"WHITE",0.08,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",1,160.81,139.42,"4y college",0,"WHITE",0.3,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",0,159.71,120.14,"less than",0,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",1,159.76,130.97,"4y college",0,"WHITE",-0.08,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",0,156.73,135.5,"4y college",0,"WHITE",0.13,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",0,161.78,139.96,"4y college",1,"WHITE",1.07,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",0,141.62,134.93,"less than",1,"WHITE",0.52,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051",0,150.33,131.08,"more than",0,"WHITE",0.35,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"C026",0,125.96,127.48,"4y college",1,"HISPANIC",1.16,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,165.21,157.62,"more than",1,"WHITE",1.43,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,134.4,147.2,"more than",1,"WHITE",1.31,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,159.99,150.73,"4y college",1,"WHITE",1.18,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,167.51,154.8,"4y college",0,"WHITE",0.1,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,160.25,145.29,"more than",0,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,152.46,151.57,"4y college",0,"WHITE",1.5,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,154.99,137.97,"4y college",1,"WHITE",-0.78,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,157.88,155.37,"more than",1,"WHITE",1.61,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",0,164.94,139.12,"4y college",1,"WHITE",0.81,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,136.08,115.59,"4y college",0,"WHITE",1.26,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,161.04,152.7,"more than",0,"WHITE",1.09,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,162.83,152.8,"more than",1,"WHITE",2.36,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,157.09,143.87,"4y college",0,"WHITE",1.34,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",1,133.26,131.28,"more than",0,"WHITE",0.85,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C026",0,113.56,114.41,"4y college",0,"WHITE",1.4,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"C035",1,157.73,140.19,"more than",1,"WHITE",0.77,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,152.91,119.91,"4y college",0,"WHITE",0.82,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,167.3,140.29,"4y college",0,"WHITE",1.19,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,158.92,139.31,"4y college",1,"WHITE",0.17,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,170.32,157.68,"more than",0,"BLACK",1.68,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",0,101.22,66.76,"less than",1,"WHITE",-0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,169.53,138.65,"4y college",1,"WHITE",0.24,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,159.48,139.4,"4y college",1,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",0,150.76,125.11,"less than",1,"WHITE",-0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,167.09,141.98,"4y college",1,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",0,154.79,143.56,"4y college",1,"WHITE",0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,166.91,143.28,"more than",1,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",0,163.88,121.74,"4y college",0,"WHITE",1.22,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,163.74,137.74,"4y college",1,"WHITE",0.78,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C035",1,166.26,159.58,"more than",1,"WHITE",1.89,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C041",1,158.48,138.74,"less than",1,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C041",0,145.72,137.81,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C041",1,168.79,150.62,"less than",0,"WHITE",-0.27,"BELOW POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C041",0,128.3,108.99,"less than",0,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
